employeeID;name;firstname;lastname;email;departmentName;departmentCode;manager;employeeStatus
00000056;Bettine Remmer;Bettine;Remmer;Bettine.Remmer@company.com;Marketing;00004;00000031;true
00000057;Goldie Salchunas;Goldie;Salchunas;Goldie.Salchunas@company.com;Production;00001;00000031;true
00000058;Marti Mayeda;Marti;Mayeda;Marti.Mayeda@company.com;Accounting and Finance;00007;00000031;true
00000059;Odessa Evangelia;Odessa;Evangelia;Odessa.Evangelia@company.com;Human Resource Management;00006;00000031;true
00000060;Juliane Hermes;Juliane;Hermes;Juliane.Hermes@company.com;Marketing;00004;00000031;true
00000061;Audrie Zrike;Audrie;Zrike;Audrie.Zrike@company.com;Developer;00002;00000031;true
00000062;Rani Sperling;Rani;Sperling;Rani.Sperling@company.com;Selling;00005;00000031;true
00000063;Jemie Longfellow;Jemie;Longfellow;Jemie.Longfellow@company.com;Selling;00005;00000031;true
00000064;Perry Cohdwell;Perry;Cohdwell;Perry.Cohdwell@company.com;Human Resource Management;00006;00000031;true
00000065;Tonia Croix;Tonia;Croix;Tonia.Croix@company.com;Developer;00002;00000031;true
00000066;Rosanne Lubin;Rosanne;Lubin;Rosanne.Lubin@company.com;Human Resource Management;00006;00000031;true
00000067;Carmencita Terencio;Carmencita;Terencio;Carmencita.Terencio@company.com;Production;00001;00000031;true
00000068;Melodie Tatianas;Melodie;Tatianas;Melodie.Tatianas@company.com;Marketing;00004;00000031;true
00000069;Brena Erich;Brena;Erich;Brena.Erich@company.com;Developer;00002;00000031;true
00000070;Daune Thar;Daune;Thar;Daune.Thar@company.com;Purchasing;00003;00000031;false
00000071;Dale Harriman;Dale;Harriman;Dale.Harriman@company.com;Selling;00005;00000031;true
00000072;Marcelline Henrie;Marcelline;Henrie;Marcelline.Henrie@company.com;Accounting and Finance;00007;00000031;true
00000073;Harrietta Voletta;Harrietta;Voletta;Harrietta.Voletta@company.com;Marketing;00004;00000031;true
00000074;Lynea Tacye;Lynea;Tacye;Lynea.Tacye@company.com;Accounting and Finance;00007;00000031;true
00000075;Fidelia Elsinore;Fidelia;Elsinore;Fidelia.Elsinore@company.com;Production;00001;00000031;true
00000076;Joeann Ellerey;Joeann;Ellerey;Joeann.Ellerey@company.com;Purchasing;00003;00000031;true
00000077;Almeta Sancho;Almeta;Sancho;Almeta.Sancho@company.com;Human Resource Management;00006;00000031;true
00000078;Clarice Latini;Clarice;Latini;Clarice.Latini@company.com;Accounting and Finance;00007;00000031;true
00000079;Kristina Papageno;Kristina;Papageno;Kristina.Papageno@company.com;Human Resource Management;00006;00000031;true
00000080;Carolina Shuler;Carolina;Shuler;Carolina.Shuler@company.com;Accounting and Finance;00007;00000000;true
00000081;Cyb Adore;Cyb;Adore;Cyb.Adore@company.com;Marketing;00004;00000031;true
00000082;Bernardine Stuart;Bernardine;Stuart;Bernardine.Stuart@company.com;Human Resource Management;00006;00000031;true
00000083;Annaliese Shanley;Annaliese;Shanley;Annaliese.Shanley@company.com;Production;00001;00000031;true
00000084;Odessa Tamar;Odessa;Tamar;Odessa.Tamar@company.com;Developer;00002;00000031;true
00000085;Kamilah Teddman;Kamilah;Teddman;Kamilah.Teddman@company.com;Accounting and Finance;00007;00000031;true
00000086;Sashenka Huggins;Sashenka;Huggins;Sashenka.Huggins@company.com;Accounting and Finance;00007;00000031;true
00000087;Daryl Brian;Daryl;Brian;Daryl.Brian@company.com;Marketing;00004;00000031;true
00000088;Lindie Morgun;Lindie;Morgun;Lindie.Morgun@company.com;Purchasing;00003;00000031;true
00000089;Leeanne Shaver;Leeanne;Shaver;Leeanne.Shaver@company.com;Human Resource Management;00006;00000031;true
00000090;Leeanne Phi;Leeanne;Phi;Leeanne.Phi@company.com;Marketing;00004;00000080;true
00000091;Pierette Teryn;Pierette;Teryn;Pierette.Teryn@company.com;Developer;00002;00000080;true
00000092;Maisey Middleton;Maisey;Middleton;Maisey.Middleton@company.com;Production;00001;00000080;true
00000093;Joelly Bryna;Joelly;Bryna;Joelly.Bryna@company.com;Human Resource Management;00006;00000080;true
00000094;Ardys Wittie;Ardys;Wittie;Ardys.Wittie@company.com;Selling;00005;00000080;true
00000095;Margarette Baptlsta;Margarette;Baptlsta;Margarette.Baptlsta@company.com;Marketing;00004;00000080;true
00000096;Daryl Valoniah;Daryl;Valoniah;Daryl.Valoniah@company.com;Purchasing;00003;00000080;true
00000097;Marsiella Franza;Marsiella;Franza;Marsiella.Franza@company.com;Marketing;00004;00000080;true
00000098;Lucy Burch;Lucy;Burch;Lucy.Burch@company.com;Developer;00002;00000080;false
00000099;Moyna Mott;Moyna;Mott;Moyna.Mott@company.com;Human Resource Management;00006;00000080;true
00000100;Amelia Nore;Amelia;Nore;Amelia.Nore@company.com;Developer;00002;00000080;true
